user_id,home_currency,current_available_balance,minimum_balance_to_keep,net_headroom,estimated_monthly_income,estimated_fixed_expenses,estimated_flexible_expenses,net_monthly_savings,estimated_runway_days,financial_priorities,protected_categories,willing_to_reduce,willing_to_stop,considered_payment_methods,max_installment_months
user_11,IDR,63531795.0,34140600.0,29391195.0,8502888.2,28657656.31,10141003.08,-30295771.19,22.7,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_12,ZAR,193089.89,43200.0,149889.89,61315.12,40598.51,14428.77,6287.84,81.7,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,streaming,partial_payment|installments,11.0
user_13,EUR,2789.52,1300.0,1489.52,1343.54,2454.01,111.0,-1221.47,17.4,education|emergency_savings,rent|groceries|transport,gym,music_subscription|delivery_membership,full_payment,
user_14,EUR,3931.74,2200.0,1731.74,2717.0,2704.89,151.03,-138.92,18.2,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment,
user_15,EUR,1770.05,1200.0,570.05,1661.0,1538.77,286.01,-163.78,9.4,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,partial_payment,
user_16,INR,362370.0,122400.0,239970.0,173000.0,316883.9,0.0,-143883.9,22.7,emergency_savings|housing,rent|groceries|transport,,,full_payment|installments,2.0
user_17,INR,550379.58,166100.0,384279.58,206000.0,275496.84,44366.91,-113863.75,36.0,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,installments,3.0
user_18,EUR,2486.0,1400.0,1086.0,2310.0,1516.1,703.53,90.37,14.7,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment,
user_19,INR,199545.0,92800.0,106745.0,131000.0,138661.21,6697.66,-14358.87,22.0,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,2.0
user_20,INR,102609.05,64500.0,38109.05,108000.0,94094.52,24186.24,-10280.76,9.7,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|partial_payment|installments,11.0
user_21,USD,3911.35,1800.0,2111.35,2256.0,2302.54,586.62,-633.16,21.9,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,streaming|cloud_storage,full_payment,
user_22,EUR,1132.46,500.0,632.46,616.0,860.3,23.0,-267.3,21.5,education|emergency_savings,rent|groceries|transport,,gym|music_subscription,installments,6.0
user_23,ZAR,51957.9,27000.0,24957.9,45760.0,61375.28,1575.29,-17190.57,11.9,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,12.0
user_24,INR,85045.0,51000.0,34045.0,61000.0,73860.29,17194.31,-30054.6,11.2,emergency_savings|travel,rent|insurance|transport,dining|streaming,streaming|cloud_storage,partial_payment,
user_25,IDR,32063050.0,23379100.0,8683950.0,1800.0,35641073.73,0.0,-35639273.73,7.3,emergency_savings|travel,rent|insurance|transport,,,full_payment|installments,3.0
user_26,IDR,100845250.0,24768300.0,76076950.0,8784637.15,35568013.98,560500.0,-27343876.83,63.2,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,streaming,full_payment|installments,5.0
user_27,ZAR,93141.8,20500.0,72641.8,7599.99,36111.71,401.5,-28913.22,59.7,education|emergency_savings,rent|groceries|transport,,delivery_membership,full_payment|partial_payment,
user_28,EUR,1789.4,1100.0,689.4,653.4,1684.86,41.0,-1072.46,12.0,emergency_savings|housing,rent|groceries|transport,,streaming|cloud_storage,full_payment,
user_29,ZAR,113540.1,28300.0,85240.1,48165.7,39388.01,7481.21,1296.48,54.6,education|family_support,housing|utilities|education,dining,,full_payment|partial_payment|installments,5.0
user_30,USD,3752.72,900.0,2852.72,421.79,1203.46,370.01,-1151.68,54.4,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming,partial_payment|installments,4.0
user_31,IDR,30429260.0,16588900.0,13840360.0,19972800.0,19271435.49,3752496.67,-3051132.16,18.0,education|emergency_savings,rent|groceries|transport,dining,,full_payment|installments,6.0
user_32,ZAR,69005.8,35700.0,33305.8,54120.0,54687.28,17947.1,-18514.38,13.8,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment|partial_payment,
user_33,INR,167280.0,102100.0,65180.0,150000.0,179893.17,14423.64,-44316.81,10.1,emergency_savings|travel,rent|insurance|transport,streaming|shopping|entertainment,streaming|cloud_storage,full_payment|partial_payment,
user_34,INR,559752.5,138500.0,421252.5,75709.92,158446.16,36637.57,-119373.81,64.8,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,full_payment|partial_payment,
user_35,INR,231530.0,106400.0,125130.0,162000.0,169354.79,21206.58,-28561.37,19.7,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment,
user_36,USD,3846.6,2400.0,1446.6,2330.64,2103.65,869.61,-642.62,14.6,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,,full_payment,
user_37,IDR,29125000.0,17056200.0,12068800.0,9490500.0,29116788.79,406600.0,-20032888.79,12.3,emergency_savings|housing,rent|groceries|transport,streaming,,full_payment|partial_payment,
user_38,EUR,779.4,400.0,379.4,737.0,793.8,117.93,-174.73,12.5,education|family_support,housing|utilities|education,dining,cloud_storage,full_payment,
user_39,INR,416505.0,213400.0,203105.0,3048.0,297178.4,5580.0,-299710.4,20.1,emergency_savings|travel,rent|insurance|transport,streaming,,full_payment|partial_payment,
user_40,EUR,2394.0,1500.0,894.0,1760.0,2001.0,492.96,-733.96,10.8,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|installments,5.0
user_41,IDR,50175850.0,25366600.0,24809250.0,2688.0,37933359.86,11393369.35,-49324041.21,15.1,emergency_savings|travel,rent|insurance|transport,dining|streaming|shopping,,full_payment|partial_payment,
user_42,INR,261765.0,113100.0,148665.0,91760.0,152284.68,38593.3,-99117.98,23.4,emergency_savings|travel,rent|insurance|transport,dining,,full_payment,
user_43,IDR,36640750.0,21398000.0,15242750.0,32870000.0,30201345.22,7410879.2,-4742224.42,12.2,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|partial_payment,
user_44,INR,162290.0,82900.0,79390.0,115000.0,126808.99,25574.98,-37383.97,15.6,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|installments,4.0
user_45,IDR,19982900.0,11149800.0,8833100.0,13486200.0,11839368.58,5229618.56,-3582787.14,15.5,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment|installments,4.0
user_46,INR,202335.0,84000.0,118335.0,145000.0,206623.29,5045.0,-66668.29,16.8,emergency_savings|housing,rent|groceries|transport,streaming,streaming|cloud_storage,partial_payment|installments,7.0
user_47,IDR,112924150.0,30049000.0,82875150.0,7396022.86,34291525.41,13723342.73,-40618845.28,51.8,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,full_payment|installments,10.0
user_48,INR,188065.0,71300.0,116765.0,984.0,117351.59,2480.0,-118847.59,29.2,emergency_savings|travel,rent|insurance|transport,streaming,cloud_storage,full_payment,
user_49,IDR,40504493.34,20275700.0,20228793.34,31464000.0,29803901.71,9729475.62,-8069377.33,15.4,education|emergency_savings,rent|groceries|transport,dining|gym,,partial_payment|installments,6.0
user_50,INR,247325.5,99700.0,147625.5,78120.0,123933.7,5490.07,-51303.77,34.2,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment,
user_51,IDR,35347700.0,7811000.0,27536700.0,1919893.33,13515669.42,0.0,-11595776.09,61.1,education|emergency_savings,rent|groceries|transport,,,full_payment|partial_payment|installments,3.0
user_52,INR,75320.0,41500.0,33820.0,69000.0,55144.15,14859.73,-1003.88,14.5,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|installments,9.0
user_53,USD,3523.42,2100.0,1423.42,2880.0,3014.43,670.03,-804.46,11.6,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,installments,12.0
user_54,ZAR,53581.4,37000.0,16581.4,33118.8,41372.03,860.2,-9113.43,11.8,healthcare|retirement_investment,housing|healthcare|utilities,,streaming,partial_payment|installments,11.0
user_55,INR,314341.19,124300.0,190041.19,216000.0,228728.94,51137.48,-63866.42,20.4,emergency_savings|housing,rent|groceries|transport,dining|shopping,streaming|cloud_storage,partial_payment|installments,11.0
user_56,USD,3432.36,2100.0,1332.36,2388.0,1655.6,724.58,7.82,16.8,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment|installments,11.0
user_57,ZAR,63914.6,42700.0,21214.6,50160.0,52037.98,2995.14,-4873.12,11.6,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,full_payment|partial_payment,
user_58,IDR,42146065.0,14433900.0,27712165.0,16020800.0,27598677.54,919600.0,-12497477.54,29.2,education|emergency_savings,rent|groceries|transport,gym,gym|delivery_membership,full_payment,
user_59,INR,723245.99,132600.0,590645.99,59413.99,170435.23,58712.32,-169733.56,77.3,education|emergency_savings,rent|groceries|transport,dining,gym|music_subscription,partial_payment|installments,7.0
user_60,USD,683.69,400.0,283.69,291.72,675.95,13.0,-397.23,12.4,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,full_payment,
user_61,ZAR,147470.23,36700.0,110770.23,51511.04,39500.81,8103.15,3907.08,69.8,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,10.0
user_62,USD,5151.44,1300.0,3851.44,1237.03,2162.13,53.0,-978.1,52.2,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,cloud_storage,full_payment|partial_payment,
user_63,INR,251795.0,153500.0,98295.0,2280.0,219791.67,12712.99,-230224.66,12.7,emergency_savings|travel,rent|insurance|transport,shopping,streaming,partial_payment,
user_64,INR,98573.01,36100.0,62473.01,660.0,141950.87,3103.65,-144394.52,12.9,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,,partial_payment|installments,11.0
user_65,ZAR,28524.0,15500.0,13024.0,22220.0,19786.91,4952.91,-2519.82,15.8,education|family_support,housing|utilities|education,dining|entertainment,,partial_payment,
user_66,INR,302520.0,80700.0,221820.0,64555.84,120617.46,0.0,-56061.62,55.2,retirement_investment|emergency_savings,rent|utilities|groceries,,,full_payment|partial_payment,
user_67,USD,1992.54,1200.0,792.54,2047.68,1677.16,547.51,-176.99,10.7,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,,full_payment|installments,4.0
user_68,USD,3657.83,1500.0,2157.83,2496.0,2622.89,76.23,-203.12,24.0,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,12.0
user_69,EUR,1639.5,700.0,939.5,1177.0,1397.6,66.01,-286.61,19.3,emergency_savings|housing,rent|groceries|transport,shopping,streaming,full_payment|partial_payment|installments,4.0
user_70,INR,208360.0,115000.0,93360.0,203000.0,233157.84,29224.11,-59381.95,10.7,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|installments,12.0
user_71,IDR,16369850.0,8884800.0,7485050.0,696.0,14416904.79,265050.0,-14681258.79,15.3,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,full_payment|partial_payment,
user_72,ZAR,30337.13,12200.0,18137.13,18700.0,17954.25,4339.36,-3593.61,24.4,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment,
user_73,INR,278542.5,103200.0,175342.5,132000.0,154564.09,3335.0,-25899.09,33.3,emergency_savings|housing,rent|groceries|transport,streaming,cloud_storage,full_payment|installments,2.0
user_74,ZAR,70056.9,21900.0,48156.9,8960.33,28420.41,832.7,-20292.78,49.4,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming|cloud_storage,full_payment|partial_payment,
user_75,ZAR,145867.87,39000.0,106867.87,50820.0,39962.18,12289.21,-1431.39,61.4,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,streaming,partial_payment|installments,3.0
user_76,USD,3338.8,1800.0,1538.8,1817.02,2961.12,157.0,-1301.1,14.8,education|emergency_savings,rent|groceries|transport,gym,music_subscription|delivery_membership,partial_payment,
user_77,INR,189860.5,82200.0,107660.5,111000.0,124937.96,705.0,-14642.96,25.7,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment,
user_78,INR,156676.0,55200.0,101476.0,89000.0,128069.01,5249.86,-44318.87,22.8,emergency_savings|travel,rent|insurance|transport,streaming|shopping,streaming,full_payment|partial_payment,
user_79,EUR,2104.08,1000.0,1104.08,1428.0,1747.44,44.0,-363.44,18.5,emergency_savings|travel,rent|insurance|transport,streaming,streaming|cloud_storage,partial_payment,
user_80,INR,280125.0,121300.0,158825.0,37380.47,169784.95,30061.92,-162466.4,23.8,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,installments,3.0
user_81,USD,5028.25,1600.0,3428.25,2808.0,3145.87,504.84,-842.71,28.2,emergency_savings|housing,rent|groceries|transport,dining,cloud_storage,full_payment|partial_payment,
user_82,USD,2202.4,1100.0,1102.4,788.4,2440.55,0.0,-1652.15,13.6,emergency_savings|housing,rent|groceries|transport,,,full_payment|installments,8.0
user_83,INR,68930.0,37800.0,31130.0,62000.0,59796.16,11538.68,-9334.84,13.1,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment|installments,10.0
user_84,INR,153945.0,91300.0,62645.0,1296.0,97358.22,36978.9,-133041.12,14.0,emergency_savings|travel,rent|insurance|transport,dining|shopping,streaming|cloud_storage,full_payment|partial_payment,
user_85,IDR,8818420.0,6396300.0,2422120.0,8618400.0,7350121.25,3380698.86,-2112420.11,6.8,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,partial_payment|installments,2.0
user_86,INR,228639.5,84900.0,143739.5,124000.0,136571.67,6974.49,-19546.16,30.0,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,6.0
user_87,INR,278750.0,185900.0,92850.0,251000.0,308607.76,10657.86,-68265.62,8.7,emergency_savings|travel,rent|insurance|transport,shopping,,full_payment|partial_payment,
user_88,ZAR,41357.89,25800.0,15557.89,34760.0,38938.93,7047.06,-11225.99,10.1,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,partial_payment|installments,11.0
user_89,IDR,27331862.01,12534700.0,14797162.01,15200000.0,14890037.42,3944005.8,-3634043.22,23.6,emergency_savings|housing,rent|groceries|transport,dining|shopping,streaming|cloud_storage,partial_payment|installments,3.0
user_90,ZAR,31629.5,7600.0,24029.5,5651.46,9120.2,4173.32,-7642.06,54.2,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,cloud_storage,full_payment|partial_payment,
user_91,EUR,4209.6,2100.0,2109.6,2387.0,3414.89,116.13,-1144.02,17.9,emergency_savings|housing,rent|groceries|transport,shopping,cloud_storage,full_payment|installments,6.0
user_92,ZAR,78664.47,28100.0,50564.47,11459.8,33188.19,8158.08,-29886.47,36.7,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_93,USD,3962.1,1900.0,2062.1,2412.0,2537.35,646.08,-771.43,19.4,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,full_payment|installments,10.0
user_94,EUR,2663.6,600.0,2063.6,387.16,757.34,190.17,-560.35,65.3,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming|cloud_storage,full_payment,
user_95,INR,283365.0,145500.0,137865.0,251000.0,273729.56,8964.74,-31694.3,14.6,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,partial_payment,
user_96,INR,161635.49,56500.0,105135.49,80000.0,79993.89,18785.9,-18779.79,31.9,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,installments,3.0
user_97,ZAR,38565.89,29700.0,8865.89,35420.0,28568.27,7400.69,-548.96,7.4,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,5.0
user_98,ZAR,47244.7,30000.0,17244.7,1804.0,43081.52,2065.18,-43342.7,11.5,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,streaming|cloud_storage,full_payment,
user_99,ZAR,86706.58,49100.0,37606.58,44444.4,35375.16,11623.99,-2554.75,24.0,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_100,ZAR,68363.53,32500.0,35863.53,19206.0,53139.42,1255.1,-35188.52,19.8,emergency_savings|housing,rent|groceries|transport,streaming,streaming|cloud_storage,installments,9.0
user_101,INR,465868.5,187400.0,278468.5,254000.0,299250.54,41523.27,-86773.81,24.5,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|installments,10.0
user_102,EUR,4643.74,900.0,3743.74,848.7,1186.36,106.94,-444.6,86.8,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,partial_payment|installments,10.0
user_103,INR,168749.0,125500.0,43249.0,164880.0,149819.72,45894.54,-30834.26,6.6,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,music_subscription|delivery_membership,full_payment|partial_payment|installments,6.0
user_104,ZAR,64021.7,24700.0,39321.7,6975.79,39401.79,214.5,-32640.5,29.8,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment|installments,2.0
user_105,INR,147831.8,73900.0,73931.8,117000.0,178770.56,7356.84,-69127.4,11.9,emergency_savings|travel,rent|insurance|transport,shopping|entertainment,,full_payment|partial_payment|installments,9.0
user_106,EUR,2601.7,1200.0,1401.7,1815.0,1680.79,354.19,-219.98,20.7,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,full_payment,
user_107,EUR,5054.52,1600.0,3454.52,1167.65,2318.29,633.65,-1784.29,35.1,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment|installments,11.0
user_108,ZAR,31936.4,24100.0,7836.4,10946.21,25263.8,8601.04,-22918.63,6.9,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,,full_payment|partial_payment,
user_109,EUR,2976.46,1700.0,1276.46,2604.0,2788.08,73.0,-257.08,13.4,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,partial_payment|installments,5.0
user_110,ZAR,61229.53,11200.0,50029.53,6984.68,17093.53,1055.47,-11164.32,82.7,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,installments,4.0
user_111,IDR,85204860.0,23022800.0,62182060.0,26220000.0,22656792.19,5020694.95,-1457487.14,67.4,retirement_investment|emergency_savings,rent|utilities|groceries,dining,cloud_storage,full_payment|partial_payment|installments,2.0
user_112,EUR,1026.0,500.0,526.0,627.0,655.86,169.68,-198.54,19.1,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_113,INR,141890.0,82300.0,59590.0,1296.0,129306.37,5831.27,-133841.64,13.2,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,,full_payment|installments,9.0
user_114,INR,219230.0,113400.0,105830.0,81510.0,159500.28,6959.18,-84949.46,19.1,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,streaming|cloud_storage,full_payment,
user_115,INR,65935.0,38800.0,27135.0,59000.0,61488.02,8621.11,-11109.13,11.6,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment,
user_116,INR,138375.0,80300.0,58075.0,124000.0,141856.11,30879.54,-48735.65,10.1,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,partial_payment|installments,12.0
user_117,EUR,2164.2,1000.0,1164.2,926.64,778.89,289.07,-141.32,32.7,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_118,EUR,1538.51,600.0,938.51,341.55,978.7,57.81,-694.96,27.2,emergency_savings|housing,rent|groceries|transport,streaming|shopping,streaming,partial_payment|installments,9.0
user_119,INR,282101.01,151200.0,130901.01,176000.0,140376.95,29186.09,6436.96,23.2,education|family_support,housing|utilities|education,dining|entertainment,,partial_payment|installments,3.0
user_120,IDR,31748980.0,20050300.0,11698680.0,23750000.0,31431540.18,630800.0,-8312340.18,10.9,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,streaming,full_payment,
user_121,USD,1741.0,800.0,941.0,1056.0,1251.31,317.48,-512.79,18.0,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,delivery_membership,full_payment|partial_payment,
user_122,IDR,56827244.99,12588500.0,44238744.99,9980227.62,13081527.43,3331762.4,-6433062.21,80.9,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,installments,12.0
user_123,IDR,63706400.0,18091200.0,45615200.0,6112349.88,24193856.83,0.0,-18081506.95,56.6,education|emergency_savings,rent|groceries|transport,,,full_payment|partial_payment,
user_124,EUR,3709.56,1600.0,2109.56,2629.0,2522.85,389.07,-282.92,21.7,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,12.0
user_125,ZAR,22027.97,11300.0,10727.97,748.0,13782.68,3830.24,-16864.92,18.3,emergency_savings|travel,rent|insurance|transport,dining,cloud_storage,full_payment,
user_126,INR,403175.0,129700.0,273475.0,74935.51,153373.8,5128.01,-83566.3,51.8,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,5.0
user_127,ZAR,66058.0,41000.0,25058.0,50160.0,48030.0,11797.48,-9667.48,12.6,emergency_savings|housing,rent|groceries|transport,dining|streaming,streaming|cloud_storage,full_payment,
user_128,ZAR,80711.7,42600.0,38111.7,55220.0,37966.76,14440.98,2812.26,21.8,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_129,USD,1088.0,800.0,288.0,1020.0,1423.77,30.0,-433.77,5.9,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming|cloud_storage,installments,10.0
user_130,USD,2317.46,1400.0,917.46,2177.28,1906.29,541.68,-270.69,11.2,education|emergency_savings,rent|groceries|transport,dining,music_subscription|delivery_membership,full_payment|partial_payment|installments,2.0
user_131,USD,3387.16,1100.0,2287.16,1632.0,1595.03,56.03,-19.06,41.6,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,installments,7.0
user_132,USD,1744.55,1100.0,644.55,656.37,1427.37,62.71,-833.71,13.0,emergency_savings|travel,rent|insurance|transport,shopping,,full_payment,
user_133,IDR,36824650.0,9986200.0,26838450.0,17901447.34,13797700.94,1907342.6,2196403.8,51.3,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,partial_payment,
user_134,IDR,28020700.0,15902500.0,12118200.0,24510000.0,35538919.66,484500.0,-11513419.66,10.1,education|debt_repayment,rent|education|groceries|debt_repayment,,music_subscription|delivery_membership,full_payment,
user_135,USD,1041.1,500.0,541.1,645.84,592.48,301.17,-247.81,18.2,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|installments,8.0
user_136,USD,2291.68,1100.0,1191.68,1548.0,1474.95,62.96,10.09,23.2,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,full_payment|partial_payment,
user_137,INR,139760.0,71800.0,67960.0,114000.0,131613.28,8321.36,-25934.64,14.6,emergency_savings|housing,rent|groceries|transport,shopping,streaming,full_payment|partial_payment|installments,4.0
user_138,EUR,3644.65,2300.0,1344.65,2695.0,2800.83,192.32,-298.15,13.5,retirement_investment|emergency_savings,rent|utilities|groceries,streaming|shopping,streaming|cloud_storage,partial_payment|installments,11.0
user_139,USD,3767.84,1500.0,2267.84,1824.0,2331.01,24.0,-531.01,28.9,education|emergency_savings,rent|groceries|transport,,music_subscription,partial_payment|installments,3.0
user_140,ZAR,34679.0,21600.0,13079.0,31900.0,35767.97,6975.6,-10843.57,9.2,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,installments,3.0
user_141,INR,122545.0,67300.0,55245.0,97000.0,141489.33,3705.0,-48194.33,11.4,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,partial_payment,
user_142,USD,5993.85,1700.0,4293.85,1082.84,1812.15,344.41,-1073.72,59.7,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,,full_payment,
user_143,ZAR,20111.0,11300.0,8811.0,14960.0,19306.76,4401.16,-8747.92,11.1,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment|installments,2.0
user_144,USD,1248.08,600.0,648.08,864.0,905.98,162.77,-204.75,18.2,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_145,INR,261013.66,155400.0,105613.66,116100.0,251454.15,52518.13,-187872.28,10.4,emergency_savings|housing,rent|groceries|transport,dining|streaming,cloud_storage,installments,3.0
user_146,INR,190065.0,108600.0,81465.0,168000.0,206143.34,525.0,-38668.34,11.8,education|family_support,housing|utilities|education,,cloud_storage,full_payment,
user_147,EUR,1641.53,900.0,741.53,1529.0,1216.27,365.72,-52.99,14.1,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,streaming|cloud_storage,installments,11.0
user_148,ZAR,33181.08,20000.0,13181.08,35640.0,41681.04,9171.44,-15212.48,7.8,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,installments,12.0
user_149,ZAR,84358.38,42100.0,42258.38,52360.0,61380.47,2983.98,-12004.45,19.7,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,8.0
