event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount,resolved_amount,amount_inr,has_image_evidence
event_40,user_01,expense,Fresh food shop,groceries,debit,663.27,ZAR,2023-10-27,2023-10-27,settled,,fixed,,663.27,3003.82,False
event_41,user_01,expense,Grocery delivery,groceries,debit,1030.1,ZAR,2023-11-03,2023-11-03,settled,,fixed,,1030.1,4665.12,False
event_42,user_01,expense,Neighbourhood grocer,groceries,debit,672.37,ZAR,2023-11-10,2023-11-10,settled,,fixed,,672.37,3045.03,False
event_43,user_01,expense,Local market purchase,groceries,debit,803.55,ZAR,2023-11-17,2023-11-17,settled,,fixed,,803.55,3639.12,False
event_44,user_01,expense,Local market purchase,groceries,debit,644.43,ZAR,2023-11-24,2023-11-24,settled,,fixed,,644.43,2918.5,False
event_45,user_01,expense,Household groceries,groceries,debit,882.48,ZAR,2023-12-01,2023-12-01,settled,,fixed,,882.48,3996.58,False
event_46,user_01,expense,Bulk pantry shop,groceries,debit,602.87,ZAR,2023-12-08,2023-12-08,settled,,fixed,,602.87,2730.28,False
event_47,user_01,expense,Local market purchase,groceries,debit,765.64,ZAR,2023-12-15,2023-12-15,settled,,fixed,,765.64,3467.43,False
event_48,user_01,expense,Fresh food shop,groceries,debit,651.12,ZAR,2023-12-22,2023-12-22,settled,,fixed,,651.12,2948.8,False
event_49,user_01,expense,Fresh food shop,groceries,debit,899.04,ZAR,2023-12-29,2023-12-29,settled,,fixed,,899.04,4071.58,False
event_50,user_01,expense,Neighbourhood grocer,groceries,debit,961.46,ZAR,2024-01-05,2024-01-05,settled,,fixed,,961.46,4354.26,False
event_51,user_01,expense,Supermarket basket,groceries,debit,875.35,ZAR,2024-01-12,2024-01-12,settled,,fixed,,875.35,3964.29,False
event_52,user_01,expense,Household groceries,groceries,debit,756.39,ZAR,2024-01-19,2024-01-19,settled,,fixed,,756.39,3425.54,False
event_53,user_01,expense,Supermarket basket,groceries,debit,624.94,ZAR,2024-01-26,2024-01-26,settled,,fixed,,624.94,2830.23,False
event_54,user_01,expense,Household groceries,groceries,debit,719.51,ZAR,2024-02-02,2024-02-02,settled,,fixed,,719.51,3258.52,False
event_55,user_01,expense,Neighbourhood grocer,groceries,debit,755.11,ZAR,2024-02-09,2024-02-09,settled,,fixed,,755.11,3419.75,False
event_56,user_01,expense,Supermarket basket,groceries,debit,881.22,ZAR,2024-02-16,2024-02-16,settled,,fixed,,881.22,3990.87,False
event_57,user_01,expense,Grocery delivery,groceries,debit,626.01,ZAR,2024-02-23,2024-02-23,settled,,fixed,,626.01,2835.08,False
event_58,user_01,expense,Local market purchase,groceries,debit,964.05,ZAR,2024-03-01,2024-03-01,settled,,fixed,,964.05,4365.99,False
event_59,user_01,expense,Commuter pass,transport,debit,399.02,ZAR,2023-09-09,2023-09-09,settled,,fixed,,399.02,1807.08,False
event_60,user_01,expense,Ride-hailing trip,transport,debit,549.8,ZAR,2023-09-16,2023-09-16,settled,,fixed,,549.8,2489.94,False
event_61,user_01,expense,Metro and bus fares,transport,debit,468.47,ZAR,2023-09-23,2023-09-23,settled,,fixed,,468.47,2121.61,False
event_62,user_01,expense,Ride-hailing trip,transport,debit,428.92,ZAR,2023-09-30,2023-09-30,settled,,fixed,,428.92,1942.49,False
event_63,user_01,expense,Metro and bus fares,transport,debit,373.05,ZAR,2023-10-07,2023-10-07,settled,,fixed,,373.05,1689.47,False
event_64,user_01,expense,Fuel refill,transport,debit,503.02,ZAR,2023-10-14,2023-10-14,settled,,fixed,,503.02,2278.08,False
event_65,user_01,expense,Local taxi,transport,debit,351.49,ZAR,2023-10-21,2023-10-21,settled,,fixed,,351.49,1591.83,False
event_66,user_01,expense,Metro and bus fares,transport,debit,553.74,ZAR,2023-10-28,2023-10-28,settled,,fixed,,553.74,2507.78,False
event_67,user_01,expense,Rail pass,transport,debit,421.89,ZAR,2023-11-04,2023-11-04,settled,,fixed,,421.89,1910.66,False
event_68,user_01,expense,Metro and bus fares,transport,debit,347.86,ZAR,2023-11-11,2023-11-11,settled,,fixed,,347.86,1575.39,False
event_69,user_01,expense,Commuter pass,transport,debit,518.04,ZAR,2023-11-18,2023-11-18,settled,,fixed,,518.04,2346.1,False
event_70,user_01,expense,Ride-hailing trip,transport,debit,444.56,ZAR,2023-11-25,2023-11-25,settled,,fixed,,444.56,2013.33,False
event_71,user_01,expense,Parking and tolls,transport,debit,323.58,ZAR,2023-12-02,2023-12-02,settled,,fixed,,323.58,1465.43,False
event_72,user_01,expense,Vehicle charging,transport,debit,478.16,ZAR,2023-12-09,2023-12-09,settled,,fixed,,478.16,2165.49,False
event_73,user_01,expense,Vehicle charging,transport,debit,534.56,ZAR,2023-12-16,2023-12-16,settled,,fixed,,534.56,2420.92,False
event_74,user_01,expense,Local taxi,transport,debit,411.07,ZAR,2023-12-23,2023-12-23,settled,,fixed,,411.07,1861.66,False
event_75,user_01,expense,Commuter pass,transport,debit,374.6,ZAR,2023-12-30,2023-12-30,settled,,fixed,,374.6,1696.49,False
event_76,user_01,expense,Ride-hailing trip,transport,debit,358.85,ZAR,2024-01-06,2024-01-06,settled,,fixed,,358.85,1625.16,False
event_77,user_01,expense,Fuel refill,transport,debit,434.69,ZAR,2024-01-13,2024-01-13,settled,,fixed,,434.69,1968.63,False
event_78,user_01,expense,Rail pass,transport,debit,375.73,ZAR,2024-01-20,2024-01-20,settled,,fixed,,375.73,1701.61,False
event_79,user_01,expense,Commuter pass,transport,debit,560.21,ZAR,2024-01-27,2024-01-27,settled,,fixed,,560.21,2537.08,False
event_80,user_01,expense,Metro and bus fares,transport,debit,406.54,ZAR,2024-02-03,2024-02-03,settled,,fixed,,406.54,1841.14,False
event_81,user_01,expense,Parking and tolls,transport,debit,488.36,ZAR,2024-02-10,2024-02-10,settled,,fixed,,488.36,2211.69,False
event_82,user_01,expense,Ride-hailing trip,transport,debit,424.56,ZAR,2024-02-17,2024-02-17,settled,,fixed,,424.56,1922.75,False
event_83,user_01,expense,Commuter pass,transport,debit,549.05,ZAR,2024-02-24,2024-02-24,settled,,fixed,,549.05,2486.54,False
event_84,user_01,expense,Local taxi,transport,debit,339.29,ZAR,2024-03-02,2024-03-02,settled,,fixed,,339.29,1536.58,False
event_85,user_01,expense,Bakery and snacks,dining,debit,1213.78,ZAR,2023-09-10,2023-09-10,settled,,reducible,489.5,1213.78,5496.97,False
event_86,user_01,expense,Bakery and snacks,dining,debit,1243.56,ZAR,2023-09-24,2023-09-24,settled,,reducible,489.5,1243.56,5631.84,False
event_87,user_01,expense,Lunch with colleagues,dining,debit,1128.35,ZAR,2023-10-08,2023-10-08,settled,,reducible,489.5,1128.35,5110.08,False
event_88,user_01,expense,Takeaway order,dining,debit,1027.06,ZAR,2023-10-22,2023-10-22,settled,,reducible,489.5,1027.06,4651.35,False
event_89,user_01,expense,Quick-service meal,dining,debit,1070.17,ZAR,2023-11-05,2023-11-05,settled,,reducible,489.5,1070.17,4846.59,False
event_90,user_01,expense,Weekend food delivery,dining,debit,956.7,ZAR,2023-11-19,2023-11-19,settled,,reducible,489.5,956.7,4332.71,False
event_91,user_01,expense,Quick-service meal,dining,debit,1160.42,ZAR,2023-12-03,2023-12-03,settled,,reducible,489.5,1160.42,5255.32,False
event_92,user_01,expense,Coffee shop,dining,debit,972.88,ZAR,2023-12-17,2023-12-17,settled,,reducible,489.5,972.88,4405.98,False
event_93,user_01,expense,Neighbourhood restaurant,dining,debit,914.64,ZAR,2023-12-31,2023-12-31,settled,,reducible,489.5,914.64,4142.23,False
event_94,user_01,expense,Coffee shop,dining,debit,1017.11,ZAR,2024-01-14,2024-01-14,settled,,reducible,489.5,1017.11,4606.29,False
event_95,user_01,expense,Bakery and snacks,dining,debit,1222.49,ZAR,2024-01-28,2024-01-28,settled,,reducible,489.5,1222.49,5536.42,False
event_96,user_01,expense,Bakery and snacks,dining,debit,1016.12,ZAR,2024-02-11,2024-02-11,settled,,reducible,489.5,1016.12,4601.81,False
event_97,user_01,expense,Family dinner,dining,debit,1216.17,ZAR,2024-02-25,2024-02-25,settled,,reducible,489.5,1216.17,5507.8,False
event_98,user_01,expense,Card charge later reversed,shopping,debit,583.0,ZAR,2024-01-25,2024-01-26,settled,,fixed,,583.0,2640.29,False
event_99,user_01,refund,Settled card charge reversal,shopping,credit,583.0,ZAR,2024-01-28,2024-01-29,settled,event_98,fixed,,583.0,2640.29,False
event_100,user_01,expense,Card authorization,shopping,debit,816.2,ZAR,2024-02-14,2024-02-16,cancelled,,fixed,,816.2,3696.41,False
event_101,user_01,expense,Settled card purchase,shopping,debit,816.2,ZAR,2024-02-16,2024-02-17,settled,event_100,fixed,,816.2,3696.41,False
event_102,user_01,expense,Pending fuel authorization,transport,debit,567.6,ZAR,2024-03-02,2024-03-05,pending,,fixed,,567.6,2570.55,False
event_103,user_01,income,Next confirmed salary,salary,credit,23320.0,ZAR,2024-03-15,2024-03-15,scheduled,,fixed,,23320.0,105611.72,False
event_104,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-03-15,2025-03-15,settled,,fixed,,33345000.0,175493.02,False
event_105,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-03-04,2025-03-04,settled,,fixed,,3534000.0,18599.26,False
event_106,user_02,expense,Municipal utilities,utilities,debit,2143659.02,IDR,2025-03-07,2025-03-07,settled,,fixed,,2143659.02,11281.97,False
event_107,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-03-08,2025-03-08,settled,,fixed,,1132400.0,5959.76,False
event_108,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-03-09,2025-03-09,settled,,fixed,,3040000.0,15999.36,False
event_109,user_02,expense,Clinic payment,healthcare,debit,1594883.08,IDR,2025-03-11,2025-03-11,settled,,fixed,,1594883.08,8393.79,False
event_110,user_02,expense,Cinema and events,entertainment,debit,1289187.4,IDR,2025-03-15,2025-03-15,settled,,reducible,670700.0,1289187.4,6784.93,False
event_111,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-03-13,2025-03-13,settled,,stoppable,,369550.0,1944.92,False
event_112,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-04-15,2025-04-15,settled,,fixed,,33345000.0,175493.02,False
event_113,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-04-04,2025-04-04,settled,,fixed,,3534000.0,18599.26,False
event_114,user_02,expense,Municipal utilities,utilities,debit,2081730.85,IDR,2025-04-07,2025-04-07,settled,,fixed,,2081730.85,10956.04,False
event_115,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-04-08,2025-04-08,settled,,fixed,,1132400.0,5959.76,False
event_116,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-04-09,2025-04-09,settled,,fixed,,3040000.0,15999.36,False
event_117,user_02,expense,Clinic payment,healthcare,debit,1467514.81,IDR,2025-04-11,2025-04-11,settled,,fixed,,1467514.81,7723.45,False
event_118,user_02,expense,Cinema and events,entertainment,debit,1367779.89,IDR,2025-04-15,2025-04-15,settled,,reducible,670700.0,1367779.89,7198.56,False
event_119,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-04-13,2025-04-13,settled,,stoppable,,369550.0,1944.92,False
event_120,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-05-15,2025-05-15,settled,,fixed,,33345000.0,175493.02,False
event_121,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-05-04,2025-05-04,settled,,fixed,,3534000.0,18599.26,False
event_122,user_02,expense,Municipal utilities,utilities,debit,1830311.06,IDR,2025-05-07,2025-05-07,settled,,fixed,,1830311.06,9632.83,False
event_123,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-05-08,2025-05-08,settled,,fixed,,1132400.0,5959.76,False
event_124,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-05-09,2025-05-09,settled,,fixed,,3040000.0,15999.36,False
event_125,user_02,expense,Clinic payment,healthcare,debit,1452405.16,IDR,2025-05-11,2025-05-11,settled,,fixed,,1452405.16,7643.93,False
event_126,user_02,expense,Cinema and events,entertainment,debit,1287628.28,IDR,2025-05-15,2025-05-15,settled,,reducible,670700.0,1287628.28,6776.72,False
event_127,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-05-13,2025-05-13,settled,,stoppable,,369550.0,1944.92,False
event_128,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-06-15,2025-06-15,settled,,fixed,,33345000.0,175493.02,False
event_129,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-06-04,2025-06-04,settled,,fixed,,3534000.0,18599.26,False
event_130,user_02,expense,Municipal utilities,utilities,debit,1981601.61,IDR,2025-06-07,2025-06-07,settled,,fixed,,1981601.61,10429.07,False
event_131,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-06-08,2025-06-08,settled,,fixed,,1132400.0,5959.76,False
event_132,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-06-09,2025-06-09,settled,,fixed,,3040000.0,15999.36,False
event_133,user_02,expense,Clinic payment,healthcare,debit,1641668.72,IDR,2025-06-11,2025-06-11,settled,,fixed,,1641668.72,8640.02,False
event_134,user_02,expense,Cinema and events,entertainment,debit,1193699.1,IDR,2025-06-15,2025-06-15,settled,,reducible,670700.0,1193699.1,6282.38,False
event_135,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-06-13,2025-06-13,settled,,stoppable,,369550.0,1944.92,False
event_136,user_02,income,Payroll credit,salary,credit,33345000.0,IDR,2025-07-15,2025-07-15,settled,,fixed,,33345000.0,175493.02,False
event_137,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-07-04,2025-07-04,settled,,fixed,,3534000.0,18599.26,False
event_138,user_02,expense,Municipal utilities,utilities,debit,2141849.94,IDR,2025-07-07,2025-07-07,settled,,fixed,,2141849.94,11272.45,False
event_139,user_02,expense,Household insurance,insurance,debit,1132400.0,IDR,2025-07-08,2025-07-08,settled,,fixed,,1132400.0,5959.76,False
event_140,user_02,expense,Course tuition,education,debit,3040000.0,IDR,2025-07-09,2025-07-09,settled,,fixed,,3040000.0,15999.36,False
event_141,user_02,expense,Clinic payment,healthcare,debit,1538498.1,IDR,2025-07-11,2025-07-11,settled,,fixed,,1538498.1,8097.04,False
event_142,user_02,expense,Cinema and events,entertainment,debit,1352563.79,IDR,2025-07-15,2025-07-15,settled,,reducible,670700.0,1352563.79,7118.47,False
event_143,user_02,subscription,Shared storage plan,cloud_storage,debit,369550.0,IDR,2025-07-13,2025-07-13,settled,,stoppable,,369550.0,1944.92,False
event_144,user_02,expense,Home repair reserve,housing,debit,3534000.0,IDR,2025-08-04,2025-08-04,settled,,fixed,,3534000.0,18599.26,False
event_145,user_02,expense,Grocery delivery,groceries,debit,2477697.53,IDR,2025-02-10,2025-02-10,settled,,fixed,,2477697.53,13039.99,False
event_146,user_02,expense,Bulk pantry shop,groceries,debit,1667911.86,IDR,2025-02-20,2025-02-20,settled,,fixed,,1667911.86,8778.13,False
event_147,user_02,expense,Weekly produce market,groceries,debit,1418745.34,IDR,2025-03-02,2025-03-02,settled,,fixed,,1418745.34,7466.78,False
event_148,user_02,expense,Neighbourhood grocer,groceries,debit,1455258.76,IDR,2025-03-12,2025-03-12,settled,,fixed,,1455258.76,7658.95,False
event_149,user_02,expense,Household groceries,groceries,debit,1920485.7,IDR,2025-03-22,2025-03-22,settled,,fixed,,1920485.7,10107.42,False
event_150,user_02,expense,Household groceries,groceries,debit,1630631.42,IDR,2025-04-01,2025-04-01,settled,,fixed,,1630631.42,8581.93,False
event_151,user_02,expense,Bulk pantry shop,groceries,debit,1664708.05,IDR,2025-04-11,2025-04-11,settled,,fixed,,1664708.05,8761.27,False
event_152,user_02,expense,Household groceries,groceries,debit,1478895.05,IDR,2025-04-21,2025-04-21,settled,,fixed,,1478895.05,7783.35,False
event_153,user_02,expense,Local market purchase,groceries,debit,2192475.45,IDR,2025-05-01,2025-05-01,settled,,fixed,,2192475.45,11538.89,False
event_154,user_02,expense,Supermarket basket,groceries,debit,1852958.27,IDR,2025-05-11,2025-05-11,settled,,fixed,,1852958.27,9752.02,False
event_155,user_02,expense,Neighbourhood grocer,groceries,debit,2030400.43,IDR,2025-05-21,2025-05-21,settled,,fixed,,2030400.43,10685.89,False
event_156,user_02,expense,Local market purchase,groceries,debit,1611886.08,IDR,2025-05-31,2025-05-31,settled,,fixed,,1611886.08,8483.27,False
event_157,user_02,expense,Neighbourhood grocer,groceries,debit,2158165.32,IDR,2025-06-10,2025-06-10,settled,,fixed,,2158165.32,11358.31,False
event_158,user_02,expense,Grocery delivery,groceries,debit,2222527.88,IDR,2025-06-20,2025-06-20,settled,,fixed,,2222527.88,11697.05,False
event_159,user_02,expense,Household groceries,groceries,debit,2079368.25,IDR,2025-06-30,2025-06-30,settled,,fixed,,2079368.25,10943.61,False
event_160,user_02,expense,Local market purchase,groceries,debit,2218141.61,IDR,2025-07-10,2025-07-10,settled,,fixed,,2218141.61,11673.97,False
event_161,user_02,expense,Fresh food shop,groceries,debit,2365919.6,IDR,2025-07-20,2025-07-20,settled,,fixed,,2365919.6,12451.71,False
event_162,user_02,expense,Supermarket basket,groceries,debit,1913686.86,IDR,2025-07-30,2025-07-30,settled,,fixed,,1913686.86,10071.64,False
event_163,user_02,expense,Fuel refill,transport,debit,1373039.34,IDR,2025-02-11,2025-02-11,settled,,fixed,,1373039.34,7226.24,False
event_164,user_02,expense,Rail pass,transport,debit,995704.83,IDR,2025-02-25,2025-02-25,settled,,fixed,,995704.83,5240.34,False
event_165,user_02,expense,Metro and bus fares,transport,debit,1062246.98,IDR,2025-03-11,2025-03-11,settled,,fixed,,1062246.98,5590.55,False
event_166,user_02,expense,Ride-hailing trip,transport,debit,1053078.61,IDR,2025-03-25,2025-03-25,settled,,fixed,,1053078.61,5542.3,False
event_167,user_02,expense,Ride-hailing trip,transport,debit,1294200.86,IDR,2025-04-08,2025-04-08,settled,,fixed,,1294200.86,6811.31,False
event_168,user_02,expense,Ride-hailing trip,transport,debit,1440242.94,IDR,2025-04-22,2025-04-22,settled,,fixed,,1440242.94,7579.92,False
event_169,user_02,expense,Vehicle charging,transport,debit,1021628.43,IDR,2025-05-06,2025-05-06,settled,,fixed,,1021628.43,5376.78,False
event_170,user_02,expense,Commuter pass,transport,debit,1374936.26,IDR,2025-05-20,2025-05-20,settled,,fixed,,1374936.26,7236.22,False
event_171,user_02,expense,Commuter pass,transport,debit,1329347.44,IDR,2025-06-03,2025-06-03,settled,,fixed,,1329347.44,6996.29,False
event_172,user_02,expense,Commuter pass,transport,debit,1309608.46,IDR,2025-06-17,2025-06-17,settled,,fixed,,1309608.46,6892.4,False
event_173,user_02,expense,Rail pass,transport,debit,1111352.32,IDR,2025-07-01,2025-07-01,settled,,fixed,,1111352.32,5848.99,False
event_174,user_02,expense,Commuter pass,transport,debit,1327886.54,IDR,2025-07-15,2025-07-15,settled,,fixed,,1327886.54,6988.6,False
event_175,user_02,expense,Metro and bus fares,transport,debit,1062310.27,IDR,2025-07-29,2025-07-29,settled,,fixed,,1062310.27,5590.88,False
event_176,user_02,expense,Bakery and snacks,dining,debit,1166644.88,IDR,2025-02-12,2025-02-12,settled,,fixed,,1166644.88,6139.99,False
event_177,user_02,expense,Coffee shop,dining,debit,1101709.76,IDR,2025-03-05,2025-03-05,settled,,fixed,,1101709.76,5798.24,False
event_178,user_02,expense,Weekend food delivery,dining,debit,935929.08,IDR,2025-03-26,2025-03-26,settled,,fixed,,935929.08,4925.75,False
event_179,user_02,expense,Quick-service meal,dining,debit,1271076.93,IDR,2025-04-16,2025-04-16,settled,,fixed,,1271076.93,6689.61,False
event_180,user_02,expense,Takeaway order,dining,debit,971169.92,IDR,2025-05-07,2025-05-07,settled,,fixed,,971169.92,5111.22,False
event_181,user_02,expense,Neighbourhood restaurant,dining,debit,1111388.15,IDR,2025-05-28,2025-05-28,settled,,fixed,,1111388.15,5849.18,False
event_182,user_02,expense,Bakery and snacks,dining,debit,947892.35,IDR,2025-06-18,2025-06-18,settled,,fixed,,947892.35,4988.71,False
event_183,user_02,expense,Family dinner,dining,debit,1043758.65,IDR,2025-07-09,2025-07-09,settled,,fixed,,1043758.65,5493.25,False
event_184,user_02,expense,Bakery and snacks,dining,debit,1204805.34,IDR,2025-07-30,2025-07-30,settled,,fixed,,1204805.34,6340.83,False
event_185,user_02,expense,Pending merchant debit,shopping,debit,1651100.0,IDR,2025-08-04,2025-08-08,pending,,fixed,,1651100.0,8689.65,False
event_186,user_03,income,Payroll credit,salary,credit,4365000.0,IDR,2019-04-15,2019-04-15,settled,,fixed,,4365000.0,22972.77,False
event_187,user_03,expense,Landlord standing order,rent,debit,1140000.0,IDR,2019-04-04,2019-04-04,settled,,fixed,,1140000.0,5999.76,False
event_188,user_03,expense,Water and power payment,utilities,debit,295330.29,IDR,2019-04-08,2019-04-08,settled,,fixed,,295330.29,1554.31,False
event_189,user_03,subscription,Shared storage plan,cloud_storage,debit,20900.0,IDR,2019-04-14,2019-04-14,settled,,stoppable,,20900.0,110.0,False
event_190,user_03,subscription,Video streaming plan,streaming,debit,117800.0,IDR,2019-04-11,2019-04-11,settled,,reducible_or_stoppable,58900.0,117800.0,619.98,False
event_191,user_03,expense,Clothing and household items,shopping,debit,151493.37,IDR,2019-04-14,2019-04-14,settled,,reducible,66120.0,151493.37,797.3,False
event_192,user_03,income,Payroll credit,salary,credit,4365000.0,IDR,2019-05-15,2019-05-15,settled,,fixed,,4365000.0,22972.77,False
event_193,user_03,expense,Landlord standing order,rent,debit,1140000.0,IDR,2019-05-04,2019-05-04,settled,,fixed,,1140000.0,5999.76,False
event_194,user_03,expense,Water and power payment,utilities,debit,290684.15,IDR,2019-05-08,2019-05-08,settled,,fixed,,290684.15,1529.86,False
event_195,user_03,subscription,Shared storage plan,cloud_storage,debit,20900.0,IDR,2019-05-14,2019-05-14,settled,,stoppable,,20900.0,110.0,False
