payment_option_id,request_id,payment_method,payment_amount,number_of_payments,payment_frequency_days,total_duration_days,financing_fee,total_payable_amount,is_recommended_option,request_affordability_status
payment_option_51,request_18,installments,182.4,21,28.0,560.0,584.3,3830.4,False,unknown
payment_option_52,request_19,full_payment,39660.0,1,30.0,0.0,0.0,39660.0,False,unknown
payment_option_53,request_19,installments,20623.2,2,28.0,28.0,1586.4,41246.4,False,unknown
payment_option_54,request_19,installments,14013.2,3,31.0,62.0,2379.6,42039.6,False,unknown
payment_option_55,request_20,full_payment,303700.0,1,30.0,0.0,0.0,303700.0,False,unknown
payment_option_56,request_20,installments,19234.33,18,31.0,527.0,42517.94,346217.94,False,unknown
payment_option_57,request_21,full_payment,1574.4,1,30.0,0.0,0.0,1574.4,False,unknown
payment_option_58,request_21,installments,88.47,21,28.0,560.0,283.47,1857.87,False,unknown
payment_option_59,request_21,installments,283.39,6,30.0,150.0,125.94,1700.34,False,unknown
payment_option_60,request_21,installments,80.03,24,31.0,713.0,346.32,1920.72,False,unknown
payment_option_61,request_22,installments,253.59,3,28.0,56.0,29.27,760.77,False,unknown
payment_option_62,request_22,full_payment,731.5,1,30.0,0.0,0.0,731.5,False,unknown
payment_option_63,request_22,installments,53.64,15,30.0,420.0,73.1,804.6,False,unknown
payment_option_64,request_23,full_payment,38016.0,1,30.0,0.0,0.0,38016.0,False,unknown
payment_option_65,request_23,installments,2407.68,18,31.0,527.0,5322.24,43338.24,False,unknown
payment_option_66,request_23,installments,1932.48,24,30.0,690.0,8363.52,46379.52,False,unknown
payment_option_67,request_24,full_payment,109600.0,1,30.0,0.0,0.0,109600.0,False,unknown
payment_option_68,request_24,installments,6158.48,21,28.0,560.0,19728.08,129328.08,False,unknown
payment_option_69,request_25,full_payment,60496000.0,1,30.0,0.0,0.0,60496000.0,False,unknown
payment_option_70,request_25,installments,4436373.33,15,30.0,420.0,6049599.95,66545599.95,False,unknown
payment_option_71,request_25,installments,3075213.33,24,28.0,644.0,13309119.92,73805119.92,False,unknown
payment_option_72,request_26,full_payment,15656000.0,1,30.0,0.0,0.0,15656000.0,True,affordable_now
payment_option_73,request_26,installments,1148106.67,15,30.0,420.0,1565600.05,17221600.05,False,affordable_now
payment_option_74,request_26,installments,2818080.0,6,31.0,155.0,1252480.0,16908480.0,False,affordable_now
payment_option_75,request_26,installments,795846.67,24,28.0,644.0,3444320.08,19100320.08,False,affordable_now
payment_option_76,request_27,full_payment,6670.0,1,30.0,0.0,0.0,6670.0,True,affordable_now
payment_option_77,request_27,installments,383.53,18,31.0,527.0,233.54,6903.54,False,affordable_now
payment_option_78,request_28,full_payment,1302.4,1,30.0,0.0,0.0,1302.4,False,affordable_later
payment_option_79,request_28,installments,73.18,21,28.0,560.0,234.38,1536.78,False,affordable_later
payment_option_80,request_28,installments,66.21,24,31.0,713.0,286.64,1589.04,False,affordable_later
payment_option_81,request_29,full_payment,51524.0,1,30.0,0.0,0.0,51524.0,False,not_affordable
payment_option_82,request_29,installments,3778.43,15,30.0,420.0,5152.45,56676.45,False,not_affordable
payment_option_83,request_30,installments,268.74,3,30.0,60.0,31.02,806.22,True,affordable_with_plan
payment_option_84,request_30,full_payment,775.2,1,30.0,0.0,0.0,775.2,False,affordable_with_plan
payment_option_85,request_30,installments,49.1,18,31.0,527.0,108.6,883.8,True,affordable_with_plan
payment_option_86,request_31,full_payment,18164000.0,1,30.0,0.0,0.0,18164000.0,False,affordable_later
payment_option_87,request_31,installments,1020643.81,21,28.0,560.0,3269520.01,21433520.01,False,affordable_later
payment_option_88,request_32,full_payment,40018.0,1,30.0,0.0,0.0,40018.0,False,affordable_later
payment_option_89,request_32,installments,2934.65,15,30.0,420.0,4001.75,44019.75,False,affordable_later
payment_option_90,request_32,installments,2034.25,24,28.0,644.0,8804.0,48822.0,False,affordable_later
payment_option_91,request_33,full_payment,118000.0,1,30.0,0.0,0.0,118000.0,False,affordable_later
payment_option_92,request_33,installments,7473.33,18,31.0,527.0,16519.94,134519.94,False,affordable_later
payment_option_93,request_34,full_payment,129400.0,1,30.0,0.0,0.0,129400.0,True,affordable_now
payment_option_94,request_34,installments,7271.05,21,28.0,560.0,23292.05,152692.05,False,affordable_now
payment_option_95,request_34,installments,23292.0,6,30.0,150.0,10352.0,139752.0,False,affordable_now
payment_option_96,request_34,installments,6577.83,24,31.0,713.0,28467.92,157867.92,False,affordable_now
payment_option_97,request_35,full_payment,212000.0,1,30.0,0.0,0.0,212000.0,False,affordable_later
payment_option_98,request_35,installments,15546.67,15,30.0,420.0,21200.05,233200.05,False,affordable_later
payment_option_99,request_36,full_payment,3954.0,1,30.0,0.0,0.0,3954.0,False,affordable_later
payment_option_100,request_36,installments,250.42,18,31.0,527.0,553.56,4507.56,False,affordable_later
payment_option_101,request_36,installments,201.0,24,30.0,690.0,870.0,4824.0,False,affordable_later
payment_option_102,request_37,full_payment,14649000.0,1,30.0,0.0,0.0,14649000.0,False,affordable_later
payment_option_103,request_37,installments,823134.29,21,28.0,560.0,2636820.09,17285820.09,False,affordable_later
payment_option_104,request_38,full_payment,971.3,1,30.0,0.0,0.0,971.3,False,affordable_later
payment_option_105,request_38,installments,71.23,15,30.0,420.0,97.15,1068.45,False,affordable_later
payment_option_106,request_38,installments,49.37,24,28.0,644.0,213.58,1184.88,False,affordable_later
payment_option_107,request_39,full_payment,208600.0,1,30.0,0.0,0.0,208600.0,False,not_affordable
payment_option_108,request_39,installments,13211.33,18,31.0,527.0,29203.94,237803.94,False,not_affordable
payment_option_109,request_40,full_payment,1290.3,1,30.0,0.0,0.0,1290.3,False,not_affordable
payment_option_110,request_40,installments,72.5,21,28.0,560.0,232.2,1522.5,False,not_affordable
payment_option_111,request_40,installments,65.59,24,31.0,713.0,283.86,1574.16,False,not_affordable
payment_option_112,request_41,full_payment,38760000.0,1,30.0,0.0,0.0,38760000.0,False,not_affordable
payment_option_113,request_41,installments,2842400.0,15,30.0,420.0,3876000.0,42636000.0,False,not_affordable
payment_option_114,request_42,full_payment,52100.0,1,30.0,0.0,0.0,52100.0,True,affordable_now
payment_option_115,request_42,installments,3299.67,18,31.0,527.0,7294.06,59394.06,False,affordable_now
payment_option_116,request_42,installments,2648.42,24,30.0,690.0,11462.08,63562.08,False,affordable_now
payment_option_117,request_43,full_payment,43339000.0,1,30.0,0.0,0.0,43339000.0,False,affordable_later
payment_option_118,request_43,installments,2435239.05,21,28.0,560.0,7801020.05,51140020.05,False,affordable_later
payment_option_119,request_44,full_payment,95800.0,1,30.0,0.0,0.0,95800.0,False,not_affordable
payment_option_120,request_44,installments,7025.33,15,30.0,420.0,9579.95,105379.95,False,not_affordable
payment_option_121,request_44,installments,4869.83,24,28.0,644.0,21075.92,116875.92,False,not_affordable
payment_option_122,request_45,full_payment,21983000.0,1,30.0,0.0,0.0,21983000.0,False,affordable_later
payment_option_123,request_45,installments,1392256.67,18,31.0,527.0,3077620.06,25060620.06,False,affordable_later
payment_option_124,request_46,full_payment,49450.0,1,30.0,0.0,0.0,49450.0,False,affordable_with_plan
payment_option_125,request_46,installments,25714.0,2,28.0,28.0,1978.0,51428.0,False,affordable_with_plan
payment_option_126,request_46,installments,17472.34,3,31.0,62.0,2967.02,52417.02,False,affordable_with_plan
payment_option_127,request_47,full_payment,38114000.0,1,30.0,0.0,0.0,38114000.0,True,affordable_now
payment_option_128,request_47,installments,2795026.67,15,30.0,420.0,3811400.05,41925400.05,False,affordable_now
payment_option_129,request_48,full_payment,45700.0,1,30.0,0.0,0.0,45700.0,True,affordable_now
payment_option_130,request_48,installments,2894.33,18,31.0,527.0,6397.94,52097.94,False,affordable_now
payment_option_131,request_48,installments,8226.0,6,28.0,140.0,3656.0,49356.0,False,affordable_now
payment_option_132,request_48,installments,2323.08,24,30.0,690.0,10053.92,55753.92,False,affordable_now
payment_option_133,request_49,installments,11902106.67,3,31.0,62.0,1373320.01,35706320.01,False,not_affordable
payment_option_134,request_49,full_payment,34333000.0,1,30.0,0.0,0.0,34333000.0,False,not_affordable
payment_option_135,request_49,installments,1929187.62,21,28.0,560.0,6179940.02,40512940.02,False,not_affordable
payment_option_136,request_50,full_payment,43900.0,1,30.0,0.0,0.0,43900.0,True,affordable_now
payment_option_137,request_50,installments,3219.33,15,30.0,420.0,4389.95,48289.95,False,affordable_now
payment_option_138,request_50,installments,7902.0,6,31.0,155.0,3512.0,47412.0,False,affordable_now
payment_option_139,request_50,installments,2231.58,24,28.0,644.0,9657.92,53557.92,False,affordable_now
payment_option_140,request_51,full_payment,2191000.0,1,30.0,0.0,0.0,2191000.0,True,affordable_now
payment_option_141,request_51,installments,125982.5,18,31.0,527.0,76685.0,2267685.0,False,affordable_now
payment_option_142,request_52,full_payment,28870.0,1,30.0,0.0,0.0,28870.0,False,affordable_later
payment_option_143,request_52,installments,1422.88,21,28.0,560.0,1010.48,29880.48,False,affordable_later
payment_option_144,request_52,installments,1263.07,24,31.0,713.0,1443.68,30313.68,False,affordable_later
payment_option_145,request_53,installments,589.06,3,28.0,56.0,67.98,1767.18,True,affordable_with_plan
payment_option_146,request_53,full_payment,1699.2,1,30.0,0.0,0.0,1699.2,False,affordable_with_plan
payment_option_147,request_53,installments,124.61,15,30.0,420.0,169.95,1869.15,True,affordable_with_plan
payment_option_148,request_54,full_payment,121528.0,1,30.0,0.0,0.0,121528.0,False,not_affordable
payment_option_149,request_54,installments,7696.77,18,31.0,527.0,17013.86,138541.86,False,not_affordable
payment_option_150,request_54,installments,6177.67,24,30.0,690.0,26736.08,148264.08,False,not_affordable
payment_option_151,request_55,installments,75781.33,3,31.0,62.0,8743.99,227343.99,True,affordable_with_plan
payment_option_152,request_55,full_payment,218600.0,1,30.0,0.0,0.0,218600.0,False,affordable_with_plan
payment_option_153,request_55,installments,12283.24,21,28.0,560.0,39348.04,257948.04,True,affordable_with_plan
payment_option_154,request_56,full_payment,881.56,1,30.0,0.0,0.0,881.56,False,affordable_with_plan
payment_option_155,request_56,installments,458.42,2,28.0,28.0,35.28,916.84,False,affordable_with_plan
payment_option_156,request_56,installments,311.49,3,28.0,56.0,52.91,934.47,False,affordable_with_plan
payment_option_157,request_57,full_payment,61446.0,1,30.0,0.0,0.0,61446.0,False,affordable_later
payment_option_158,request_57,installments,3891.58,18,31.0,527.0,8602.44,70048.44,False,affordable_later
payment_option_159,request_58,full_payment,16226000.0,1,30.0,0.0,0.0,16226000.0,True,affordable_now
payment_option_160,request_58,installments,911746.67,21,28.0,560.0,2920680.07,19146680.07,False,affordable_now
payment_option_161,request_58,installments,2920680.0,6,30.0,150.0,1298080.0,17524080.0,False,affordable_now
payment_option_162,request_58,installments,824821.67,24,31.0,713.0,3569720.08,19795720.08,False,affordable_now
payment_option_163,request_59,installments,48741.33,3,28.0,56.0,5623.99,146223.99,True,affordable_with_plan
payment_option_164,request_59,full_payment,140600.0,1,30.0,0.0,0.0,140600.0,False,affordable_with_plan
payment_option_165,request_59,installments,10310.67,15,30.0,420.0,14060.05,154660.05,True,affordable_with_plan
payment_option_166,request_60,full_payment,199.89,1,30.0,0.0,0.0,199.89,False,not_affordable
payment_option_167,request_60,installments,11.5,18,31.0,527.0,7.11,207.0,False,not_affordable
payment_option_168,request_60,installments,8.75,24,30.0,690.0,10.11,210.0,False,not_affordable
payment_option_169,request_61,installments,10074.83,3,31.0,62.0,1162.49,30224.49,True,affordable_with_plan
payment_option_170,request_61,full_payment,29062.0,1,30.0,0.0,0.0,29062.0,False,affordable_with_plan
payment_option_171,request_61,installments,1633.01,21,28.0,560.0,5231.21,34293.21,True,affordable_with_plan
payment_option_172,request_62,full_payment,404.23,1,30.0,0.0,0.0,404.23,True,affordable_now
payment_option_173,request_62,installments,27.9,15,30.0,420.0,14.27,418.5,False,affordable_now
payment_option_174,request_62,installments,17.69,24,28.0,644.0,20.33,424.56,False,affordable_now
payment_option_175,request_63,full_payment,343900.0,1,30.0,0.0,0.0,343900.0,False,not_affordable
payment_option_176,request_63,installments,21780.33,18,31.0,527.0,48145.94,392045.94,False,not_affordable
payment_option_177,request_64,installments,22082.67,3,31.0,62.0,2548.01,66248.01,False,not_affordable
payment_option_178,request_64,full_payment,63700.0,1,30.0,0.0,0.0,63700.0,False,not_affordable
payment_option_179,request_64,installments,3579.33,21,28.0,560.0,11465.93,75165.93,False,not_affordable
payment_option_180,request_65,full_payment,54340.0,1,30.0,0.0,0.0,54340.0,False,not_affordable
payment_option_181,request_65,installments,3984.93,15,30.0,420.0,5433.95,59773.95,False,not_affordable
payment_option_182,request_66,full_payment,22200.0,1,30.0,0.0,0.0,22200.0,True,affordable_now
payment_option_183,request_66,installments,1276.5,18,31.0,527.0,777.0,22977.0,False,affordable_now
payment_option_184,request_66,installments,971.25,24,30.0,690.0,1110.0,23310.0,False,affordable_now
payment_option_185,request_67,full_payment,2094.0,1,30.0,0.0,0.0,2094.0,False,affordable_later
payment_option_186,request_67,installments,117.66,21,28.0,560.0,376.86,2470.86,False,affordable_later
payment_option_187,request_68,installments,725.09,3,28.0,56.0,83.67,2175.27,True,affordable_with_plan
payment_option_188,request_68,full_payment,2091.6,1,30.0,0.0,0.0,2091.6,False,affordable_with_plan
payment_option_189,request_68,installments,153.38,15,30.0,420.0,209.1,2300.7,True,affordable_with_plan
payment_option_190,request_69,full_payment,529.1,1,30.0,0.0,0.0,529.1,True,affordable_now
payment_option_191,request_69,installments,33.51,18,31.0,527.0,74.08,603.18,False,affordable_now
payment_option_192,request_69,installments,95.24,6,28.0,140.0,42.34,571.44,False,affordable_now
payment_option_193,request_70,full_payment,243900.0,1,30.0,0.0,0.0,243900.0,False,affordable_later
payment_option_194,request_70,installments,13704.86,21,28.0,560.0,43902.06,287802.06,False,affordable_later
payment_option_195,request_70,installments,12398.25,24,31.0,713.0,53658.0,297558.0,False,affordable_later
payment_option_196,request_71,full_payment,21451000.0,1,30.0,0.0,0.0,21451000.0,False,not_affordable
payment_option_197,request_71,installments,1573073.33,15,30.0,420.0,2145099.95,23596099.95,False,not_affordable
payment_option_198,request_72,full_payment,11330.0,1,30.0,0.0,0.0,11330.0,True,affordable_now
payment_option_199,request_72,installments,717.57,18,31.0,527.0,1586.26,12916.26,False,affordable_now
payment_option_200,request_72,installments,2039.4,6,28.0,140.0,906.4,12236.4,False,affordable_now
payment_option_201,request_72,installments,575.94,24,30.0,690.0,2492.56,13822.56,False,affordable_now
payment_option_202,request_73,full_payment,71400.0,1,30.0,0.0,0.0,71400.0,True,affordable_now
payment_option_203,request_73,installments,4012.0,21,28.0,560.0,12852.0,84252.0,False,affordable_now
payment_option_204,request_73,installments,12852.0,6,30.0,150.0,5712.0,77112.0,False,affordable_now
payment_option_205,request_74,full_payment,5010.0,1,30.0,0.0,0.0,5010.0,True,affordable_now
payment_option_206,request_74,installments,345.69,15,30.0,420.0,175.35,5185.35,False,affordable_now
payment_option_207,request_74,installments,219.19,24,28.0,644.0,250.56,5260.56,False,affordable_now
payment_option_208,request_75,installments,9800.27,3,30.0,60.0,1130.81,29400.81,True,affordable_with_plan
payment_option_209,request_75,full_payment,28270.0,1,30.0,0.0,0.0,28270.0,False,affordable_with_plan
payment_option_210,request_75,installments,1790.43,18,31.0,527.0,3957.74,32227.74,True,affordable_with_plan
payment_option_211,request_76,full_payment,4455.6,1,30.0,0.0,0.0,4455.6,False,not_affordable
payment_option_212,request_76,installments,250.36,21,28.0,560.0,801.96,5257.56,False,not_affordable
payment_option_213,request_76,installments,226.49,24,31.0,713.0,980.16,5435.76,False,not_affordable
payment_option_214,request_77,full_payment,60700.0,1,30.0,0.0,0.0,60700.0,True,affordable_now
payment_option_215,request_77,installments,4451.33,15,30.0,420.0,6069.95,66769.95,False,affordable_now
payment_option_216,request_77,installments,10926.0,6,31.0,155.0,4856.0,65556.0,False,affordable_now
payment_option_217,request_78,full_payment,50200.0,1,30.0,0.0,0.0,50200.0,True,affordable_now
payment_option_218,request_78,installments,3179.33,18,31.0,527.0,7027.94,57227.94,False,affordable_now
payment_option_219,request_78,installments,9036.0,6,28.0,140.0,4016.0,54216.0,False,affordable_now
payment_option_220,request_78,installments,2551.83,24,30.0,690.0,11043.92,61243.92,False,affordable_now
payment_option_221,request_79,full_payment,2151.6,1,30.0,0.0,0.0,2151.6,False,not_affordable
payment_option_222,request_79,installments,120.9,21,28.0,560.0,387.3,2538.9,False,not_affordable
payment_option_223,request_80,full_payment,217500.0,1,30.0,0.0,0.0,217500.0,False,not_affordable
payment_option_224,request_80,installments,15950.0,15,30.0,420.0,21750.0,239250.0,False,not_affordable
payment_option_225,request_80,installments,11056.25,24,28.0,644.0,47850.0,265350.0,False,not_affordable
payment_option_226,request_81,full_payment,2076.0,1,30.0,0.0,0.0,2076.0,True,affordable_now
payment_option_227,request_81,installments,131.48,18,31.0,527.0,290.64,2366.64,False,affordable_now
payment_option_228,request_81,installments,373.68,6,28.0,140.0,166.08,2242.08,False,affordable_now
payment_option_229,request_82,full_payment,1405.2,1,30.0,0.0,0.0,1405.2,False,affordable_later
payment_option_230,request_82,installments,78.96,21,28.0,560.0,252.96,1658.16,False,affordable_later
payment_option_231,request_82,installments,71.43,24,31.0,713.0,309.12,1714.32,False,affordable_later
payment_option_232,request_83,full_payment,156200.0,1,30.0,0.0,0.0,156200.0,False,not_affordable
payment_option_233,request_83,installments,11454.67,15,30.0,420.0,15620.05,171820.05,False,not_affordable
payment_option_234,request_84,full_payment,95400.0,1,30.0,0.0,0.0,95400.0,False,not_affordable
payment_option_235,request_84,installments,6042.0,18,31.0,527.0,13356.0,108756.0,False,not_affordable
payment_option_236,request_84,installments,4849.5,24,30.0,690.0,20988.0,116388.0,False,not_affordable
payment_option_237,request_85,full_payment,19304000.0,1,30.0,0.0,0.0,19304000.0,False,not_affordable
payment_option_238,request_85,installments,1084700.95,21,28.0,560.0,3474719.95,22778719.95,False,not_affordable
payment_option_239,request_86,full_payment,46300.0,1,30.0,0.0,0.0,46300.0,True,affordable_now
payment_option_240,request_86,installments,3395.33,15,30.0,420.0,4629.95,50929.95,False,affordable_now
payment_option_241,request_86,installments,8334.0,6,31.0,155.0,3704.0,50004.0,False,affordable_now
payment_option_242,request_86,installments,2353.58,24,28.0,644.0,10185.92,56485.92,False,affordable_now
payment_option_243,request_87,full_payment,487900.0,1,30.0,0.0,0.0,487900.0,False,not_affordable
payment_option_244,request_87,installments,30900.33,18,31.0,527.0,68305.94,556205.94,False,not_affordable
payment_option_245,request_88,installments,9045.23,3,31.0,62.0,1043.69,27135.69,True,affordable_with_plan
payment_option_246,request_88,full_payment,26092.0,1,30.0,0.0,0.0,26092.0,False,affordable_with_plan
payment_option_247,request_88,installments,1466.12,21,28.0,560.0,4696.52,30788.52,True,affordable_with_plan
payment_option_248,request_89,installments,4768746.67,3,28.0,56.0,550240.01,14306240.01,False,not_affordable
payment_option_249,request_89,full_payment,13756000.0,1,30.0,0.0,0.0,13756000.0,False,not_affordable
payment_option_250,request_89,installments,1008773.33,15,30.0,420.0,1375599.95,15131599.95,False,not_affordable
payment_option_251,request_90,full_payment,2560.0,1,30.0,0.0,0.0,2560.0,True,affordable_now
payment_option_252,request_90,installments,147.2,18,31.0,527.0,89.6,2649.6,False,affordable_now
payment_option_253,request_90,installments,112.0,24,30.0,690.0,128.0,2688.0,False,affordable_now
payment_option_254,request_91,full_payment,1927.2,1,30.0,0.0,0.0,1927.2,False,affordable_later
payment_option_255,request_91,installments,108.29,21,28.0,560.0,346.89,2274.09,False,affordable_later
payment_option_256,request_92,full_payment,34034.0,1,30.0,0.0,0.0,34034.0,True,affordable_now
payment_option_257,request_92,installments,2495.83,15,30.0,420.0,3403.45,37437.45,False,affordable_now
payment_option_258,request_92,installments,6126.12,6,31.0,155.0,2722.72,36756.72,False,affordable_now
payment_option_259,request_92,installments,1730.06,24,28.0,644.0,7487.44,41521.44,False,affordable_now
payment_option_260,request_93,full_payment,1729.2,1,30.0,0.0,0.0,1729.2,True,affordable_now
payment_option_261,request_93,installments,109.52,18,31.0,527.0,242.16,1971.36,False,affordable_now
payment_option_262,request_93,installments,311.26,6,28.0,140.0,138.36,1867.56,False,affordable_now
payment_option_263,request_94,full_payment,572.0,1,30.0,0.0,0.0,572.0,True,affordable_now
payment_option_264,request_94,installments,32.14,21,28.0,560.0,102.94,674.94,False,affordable_now
payment_option_265,request_94,installments,102.96,6,30.0,150.0,45.76,617.76,False,affordable_now
payment_option_266,request_94,installments,29.08,24,31.0,713.0,125.92,697.92,False,affordable_now
payment_option_267,request_95,full_payment,553000.0,1,30.0,0.0,0.0,553000.0,False,not_affordable
payment_option_268,request_95,installments,40553.33,15,30.0,420.0,55299.95,608299.95,False,not_affordable
payment_option_269,request_96,installments,31269.33,3,30.0,60.0,3607.99,93807.99,True,affordable_with_plan
payment_option_270,request_96,full_payment,90200.0,1,30.0,0.0,0.0,90200.0,False,affordable_with_plan
payment_option_271,request_96,installments,5712.67,18,31.0,527.0,12628.06,102828.06,True,affordable_with_plan
payment_option_272,request_97,installments,8145.28,3,31.0,62.0,939.84,24435.84,True,affordable_with_plan
payment_option_273,request_97,full_payment,23496.0,1,30.0,0.0,0.0,23496.0,False,affordable_with_plan
payment_option_274,request_97,installments,1320.25,21,28.0,560.0,4229.25,27725.25,True,affordable_with_plan
payment_option_275,request_98,full_payment,27148.0,1,30.0,0.0,0.0,27148.0,False,not_affordable
payment_option_276,request_98,installments,1990.85,15,30.0,420.0,2714.75,29862.75,False,not_affordable
payment_option_277,request_98,installments,1380.02,24,28.0,644.0,5972.48,33120.48,False,not_affordable
payment_option_278,request_99,full_payment,18062.0,1,30.0,0.0,0.0,18062.0,True,affordable_with_plan
payment_option_279,request_99,installments,1143.93,18,31.0,527.0,2528.74,20590.74,False,affordable_with_plan
payment_option_280,request_99,installments,3251.16,6,28.0,140.0,1444.96,19506.96,False,affordable_with_plan
payment_option_281,request_100,installments,12866.19,3,31.0,62.0,1484.57,38598.57,True,affordable_with_plan
payment_option_282,request_100,full_payment,37114.0,1,30.0,0.0,0.0,37114.0,False,affordable_with_plan
payment_option_283,request_100,installments,2085.45,21,28.0,560.0,6680.45,43794.45,True,affordable_with_plan
payment_option_284,request_101,full_payment,143500.0,1,30.0,0.0,0.0,143500.0,True,affordable_now
payment_option_285,request_101,installments,10523.33,15,30.0,420.0,14349.95,157849.95,False,affordable_now
payment_option_286,request_101,installments,25830.0,6,31.0,155.0,11480.0,154980.0,False,affordable_now
payment_option_287,request_102,installments,594.88,3,30.0,60.0,68.64,1784.64,True,affordable_with_plan
payment_option_288,request_102,full_payment,1716.0,1,30.0,0.0,0.0,1716.0,False,affordable_with_plan
payment_option_289,request_102,installments,108.68,18,31.0,527.0,240.24,1956.24,True,affordable_with_plan
payment_option_290,request_103,full_payment,368300.0,1,30.0,0.0,0.0,368300.0,False,not_affordable
payment_option_291,request_103,installments,20694.95,21,28.0,560.0,66293.95,434593.95,False,not_affordable
payment_option_292,request_104,full_payment,17204.0,1,30.0,0.0,0.0,17204.0,True,affordable_now
payment_option_293,request_104,installments,1261.63,15,30.0,420.0,1720.45,18924.45,False,affordable_now
